TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
mALPS,GO_BP_2023,Mitotic Spindle Organization (GO:0007052),GO_BP_2023::Mitotic_Spindle_Organization_(GO:0007052),79,-0.026406,-0.0017364,0.096155,0.60819,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,T-helper Cell Differentiation (GO:0042093),GO_BP_2023::T-helper_Cell_Differentiation_(GO:0042093),18,-0.053966,-0.0016968,0.19645,0.60823,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Intracellular Estrogen Receptor Signaling Pathway (GO:0030520),GO_BP_2023::Intracellular_Estrogen_Receptor_Signaling_Pathway_(GO:0030520),17,-0.07405,-0.0022627,0.26895,0.60847,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Gas Transport (GO:0015669),GO_BP_2023::Gas_Transport_(GO:0015669),15,-0.068145,-0.0019561,0.24713,0.60863,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Early SARS-CoV-2 Infection Events R-HSA-9772572,Reactome_2022::Early_SARS-CoV-2_Infection_Events_R-HSA-9772572,34,-0.047807,-0.0020649,0.17287,0.60893,0.9673418390162102,1.0,False,False
mALPS,Hallmark_2020,Interferon Alpha Response,Hallmark_2020::Interferon_Alpha_Response,96,-0.025449,-0.0018439,0.091885,0.60909,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Positive Regulation Of Glucose Transmembrane Transport (GO:0010828),GO_BP_2023::Positive_Regulation_Of_Glucose_Transmembrane_Transport_(GO:0010828),31,-0.044326,-0.0018283,0.16001,0.60911,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Mitochondrial Calcium Ion Homeostasis (GO:0051560),GO_BP_2023::Mitochondrial_Calcium_Ion_Homeostasis_(GO:0051560),19,-0.059077,-0.0019083,0.21328,0.60911,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438),GO_BP_2023::Regulation_Of_Ubiquitin-Protein_Transferase_Activity_(GO:0051438),30,-0.047801,-0.0019396,0.17127,0.60991,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,TP53 Regulates Metabolic Genes R-HSA-5628897,Reactome_2022::TP53_Regulates_Metabolic_Genes_R-HSA-5628897,78,-0.026789,-0.0017505,0.095669,0.61027,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Regulation Of KIT Signaling R-HSA-1433559,Reactome_2022::Regulation_Of_KIT_Signaling_R-HSA-1433559,15,-0.064431,-0.0018495,0.22864,0.61095,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of mRNA Processing (GO:0050684),GO_BP_2023::Regulation_Of_mRNA_Processing_(GO:0050684),34,-0.045236,-0.0019539,0.16049,0.61097,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Selective Autophagy (GO:0061912),GO_BP_2023::Selective_Autophagy_(GO:0061912),53,-0.036774,-0.0019821,0.12995,0.6114,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Protein Ubiquitination (GO:0031396),GO_BP_2023::Regulation_Of_Protein_Ubiquitination_(GO:0031396),104,-0.025982,-0.0019589,0.091714,0.61152,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,RHOBTB3 ATPase Cycle R-HSA-9706019,Reactome_2022::RHOBTB3_ATPase_Cycle_R-HSA-9706019,8,-0.11135,-0.0023347,0.39196,0.61183,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,EGFR Downregulation R-HSA-182971,Reactome_2022::EGFR_Downregulation_R-HSA-182971,30,-0.052706,-0.0021387,0.18548,0.61185,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Synaptic Vesicle Cycle (GO:0099504),GO_BP_2023::Synaptic_Vesicle_Cycle_(GO:0099504),37,-0.042662,-0.0019221,0.14988,0.61204,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Protein Kinase B Signaling (GO:0043491),GO_BP_2023::Protein_Kinase_B_Signaling_(GO:0043491),24,-0.049033,-0.0017799,0.17212,0.61213,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Interleukin-2 Production (GO:0032663),GO_BP_2023::Regulation_Of_Interleukin-2_Production_(GO:0032663),45,-0.038084,-0.0018919,0.13362,0.61218,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,RHO GTPases Activate Formins R-HSA-5663220,Reactome_2022::RHO_GTPases_Activate_Formins_R-HSA-5663220,115,-0.024622,-0.0019515,0.086284,0.61231,0.9673418390162102,1.0,False,False
