library,term,traits_tested,traits_P_lt_0_005,minimum_P,maximum_P,minimum_BH_FDR,FDR_significant_any_trait
GO_BP_2023,Positive Regulation Of mRNA Processing (GO:0050685),3,0,0.012084,0.039629,0.7795909677419355,False
GO_BP_2023,Positive Regulation Of Protein Dephosphorylation (GO:0035307),3,0,0.0053358,0.039835,0.5916865306122449,False
GO_BP_2023,Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0040036),3,0,0.018283,0.040968,0.7646050657894736,False
GO_BP_2023,Atrial Septum Morphogenesis (GO:0060413),3,0,0.019351,0.041361,0.7598961313868613,False
Reactome_2022,Cell-extracellular Matrix Interactions R-HSA-446353,3,0,0.024404,0.04165,0.8273067857142858,False
Reactome_2022,Downstream TCR Signaling R-HSA-202424,3,0,0.027135,0.041997,0.8273067857142858,False
GO_BP_2023,Regulation Of Insulin Receptor Signaling Pathway (GO:0046626),3,0,0.018721,0.042195,0.7598961313868613,False
Reactome_2022,Activation Of SMO R-HSA-5635838,3,0,0.028173,0.042424,0.8298750915750917,False
GO_BP_2023,Chromatin Remodeling (GO:0006338),3,0,0.018679,0.042466,0.7827946511627907,False
Reactome_2022,Other Semaphorin Interactions R-HSA-416700,3,0,0.030903,0.043225,0.8273067857142858,False
Reactome_2022,TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789,3,0,0.016397,0.043957,0.7598961313868613,False
GO_BP_2023,Actomyosin Structure Organization (GO:0031032),3,0,0.020777,0.043996,0.8011737121212121,False
GO_BP_2023,RNA Modification (GO:0009451),3,0,0.021564,0.044374,0.8273067857142858,False
GO_BP_2023,Regulation Of Synapse Organization (GO:0050807),3,0,0.026266,0.045072,0.7995480193236716,False
Reactome_2022,Transcriptional Regulation By RUNX2 R-HSA-8878166,3,0,0.034928,0.045855,0.8446783644859814,False
GO_BP_2023,Ventricular Cardiac Muscle Tissue Development (GO:0003229),3,0,0.030323,0.04603,0.8273067857142858,False
GO_BP_2023,Retinoic Acid Receptor Signaling Pathway (GO:0048384),3,0,0.019454,0.046074,0.7827946511627907,False
GO_BP_2023,Mitochondrion Transport Along Microtubule (GO:0047497),3,0,0.017944,0.046091,0.7598961313868613,False
Reactome_2022,FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,3,0,0.02432,0.046985,0.8273067857142858,False
GO_BP_2023,Regulation Of Phosphorylation (GO:0042325),3,0,0.027088,0.047132,0.8273067857142858,False
GO_BP_2023,Negative Regulation Of Protein Depolymerization (GO:1901880),3,0,0.041009,0.047557,0.8298750915750917,False
GO_BP_2023,Membrane Protein Intracellular Domain Proteolysis (GO:0031293),3,0,0.022149,0.04781,0.7646050657894736,False
Reactome_2022,G Alpha (12/13) Signaling Events R-HSA-416482,3,0,0.018775,0.048655,0.7827946511627907,False
GO_BP_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),3,0,0.033711,0.04904,0.8111107075471697,False
Reactome_2022,Cyclin E Associated Events During G1/S Transition R-HSA-69202,3,0,0.01604,0.049784,0.7598961313868613,False
Reactome_2022,"Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",3,0,0.032329,0.0498,0.8411479499999999,False
GO_BP_2023,Striated Muscle Cell Development (GO:0055002),3,0,0.021631,0.049803,0.8155688148148149,False
GO_BP_2023,Anterograde Axonal Transport (GO:0008089),3,0,0.026954,0.05064,0.7995480193236716,False
GO_BP_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),3,0,0.0099483,0.051031,0.7326160810810811,False
GO_BP_2023,Regulation Of cAMP-mediated Signaling (GO:0043949),3,0,0.02573,0.051508,0.8273067857142858,False
GO_BP_2023,Regulation Of Protein Kinase B Signaling (GO:0051896),3,0,0.021187,0.051592,0.8273067857142858,False
Reactome_2022,Signaling By B Cell Receptor (BCR) R-HSA-983705,3,0,0.024612,0.051952,0.7684385119047619,False
Reactome_2022,Antigen processing-Cross Presentation R-HSA-1236975,3,0,0.013694,0.05298,0.7598961313868613,False
GO_BP_2023,Regulation Of Establishment Of Protein Localization (GO:0070201),3,0,0.012704,0.053322,0.7598961313868613,False
Reactome_2022,Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,3,0,0.042098,0.053949,0.8635484411764706,False
Reactome_2022,Hedgehog Off State R-HSA-5610787,3,0,0.014614,0.054076,0.7598961313868613,False
Reactome_2022,Signaling By ROBO Receptors R-HSA-376176,3,0,0.018278,0.054254,0.7598961313868613,False
GO_BP_2023,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),3,0,0.0315,0.055206,0.7995480193236716,False
GO_BP_2023,Regulation Of Gastrulation (GO:0010470),3,0,0.01027,0.055265,0.7326160810810811,False
Reactome_2022,NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700,3,0,0.02473,0.055514,0.8273067857142858,False
GO_BP_2023,rRNA Modification (GO:0000154),3,0,0.022565,0.056468,0.7646050657894736,False
GO_BP_2023,Protein K48-linked Ubiquitination (GO:0070936),3,0,0.041182,0.057326,0.8635484411764706,False
GO_BP_2023,Positive Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903749),3,0,0.0091541,0.057348,0.6892383970588236,False
GO_BP_2023,Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903844),3,0,0.018356,0.057473,0.8503912258064517,False
GO_BP_2023,Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163),3,0,0.015055,0.058402,0.7827946511627907,False
GO_BP_2023,Negative Regulation Of Supramolecular Fiber Organization (GO:1902904),3,0,0.049071,0.059752,0.8635484411764706,False
GO_BP_2023,Regulation Of Protein-Containing Complex Assembly (GO:0043254),3,0,0.024623,0.060173,0.8492287962962963,False
Reactome_2022,FCERI Mediated NF-kB Activation R-HSA-2871837,3,0,0.029186,0.060352,0.8273067857142858,False
GO_BP_2023,Sodium-Independent Organic Anion Transport (GO:0043252),3,0,0.018851,0.060564,0.8273067857142858,False
GO_BP_2023,Cholesterol Efflux (GO:0033344),3,0,0.042805,0.060595,0.8604618021201413,False
Reactome_2022,Detoxification Of Reactive Oxygen Species R-HSA-3299685,3,0,0.035284,0.060629,0.8446783644859814,False
GO_BP_2023,Neural Tube Closure (GO:0001843),3,0,0.031272,0.060892,0.8273067857142858,False
GO_BP_2023,Atrial Cardiac Muscle Tissue Development (GO:0003228),3,0,0.023907,0.06113,0.7955800512820512,False
GO_BP_2023,Lymphocyte Activation Involved In Immune Response (GO:0002285),3,0,0.025363,0.061211,0.7684385119047619,False
GO_BP_2023,Regulation Of Microtubule Depolymerization (GO:0031114),3,0,0.027216,0.06265,0.7780630555555557,False
GO_BP_2023,Negative Regulation Of Cytoskeleton Organization (GO:0051494),3,0,0.052384,0.06272,0.8766172752043597,False
GO_BP_2023,Regulation Of Protein Catabolic Process (GO:0042176),3,0,0.034557,0.062766,0.821939859813084,False
GO_BP_2023,Regulation Of Protein Tyrosine Kinase Activity (GO:0061097),3,0,0.037431,0.064571,0.8601226180257511,False
GO_BP_2023,Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins (GO:0006515),3,0,0.033515,0.064958,0.8446783644859814,False
GO_BP_2023,Mesoderm Formation (GO:0001707),3,0,0.0087206,0.065608,0.8273067857142858,False
GO_BP_2023,Positive Regulation Of Protein Targeting To Mitochondrion (GO:1903955),3,0,0.011414,0.065781,0.7598961313868613,False
GO_BP_2023,Lipoprotein Localization (GO:0044872),3,0,0.032114,0.065942,0.7995480193236716,False
Reactome_2022,Heme Biosynthesis R-HSA-189451,3,0,0.017371,0.066123,0.7598961313868613,False
GO_BP_2023,Regulation Of Protein-Containing Complex Disassembly (GO:0043244),3,0,0.038536,0.0663,0.8601226180257511,False
GO_BP_2023,Positive Regulation Of Phosphatase Activity (GO:0010922),3,0,0.029865,0.06801,0.7943846354166667,False
GO_BP_2023,Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901016),3,0,0.043374,0.068046,0.8298750915750917,False
GO_BP_2023,Renal Filtration (GO:0097205),3,0,0.024663,0.068168,0.8273067857142858,False
GO_BP_2023,Positive Regulation Of Dendrite Morphogenesis (GO:0050775),3,0,0.012869,0.068804,0.8273067857142858,False
GO_BP_2023,Retina Homeostasis (GO:0001895),3,0,0.011726,0.068846,0.7615670886075949,False
Reactome_2022,Transport Of Organic Anions R-HSA-879518,3,0,0.019005,0.06939,0.8273067857142858,False
Reactome_2022,Signaling By NOTCH1 R-HSA-1980143,3,0,0.019057,0.06979,0.7827946511627907,False
GO_BP_2023,Axonal Transport Of Mitochondrion (GO:0019896),3,0,0.029525,0.069836,0.7995480193236716,False
GO_BP_2023,Negative Regulation Of Metabolic Process (GO:0009892),3,0,0.0071427,0.069878,0.7364463013698631,False
GO_BP_2023,Negative Regulation Of Multicellular Organismal Process (GO:0051241),3,0,0.016684,0.07008,0.7827946511627907,False
GO_BP_2023,Dosage Compensation By Inactivation Of X Chromosome (GO:0009048),3,0,0.052166,0.070098,0.8635484411764706,False
Reactome_2022,Role Of Phospholipids In Phagocytosis R-HSA-2029485,3,0,0.038936,0.0706,0.8601226180257511,False
GO_BP_2023,Pseudouridine Synthesis (GO:0001522),3,0,0.033561,0.070634,0.8446783644859814,False
GO_BP_2023,Eye Photoreceptor Cell Development (GO:0042462),3,0,0.050602,0.071011,0.8919786206896552,False
GO_BP_2023,Cellular Response To Oxidative Stress (GO:0034599),3,0,0.052652,0.072278,0.8874128476821191,False
Reactome_2022,Mitotic G2-G2/M Phases R-HSA-453274,3,0,0.052505,0.073102,0.8766172752043597,False
GO_BP_2023,Negative Regulation Of Insulin Receptor Signaling Pathway (GO:0046627),3,0,0.063036,0.07341,0.8766172752043597,False
GO_BP_2023,NAD Biosynthetic Process (GO:0009435),3,0,0.034223,0.073852,0.8298750915750917,False
GO_BP_2023,Positive Regulation Of Catabolic Process (GO:0009896),3,0,0.067222,0.074029,0.8848690726817042,False
