TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
right_ALPS,GO_BP_2023,Intracellular Sodium Ion Homeostasis (GO:0006883),GO_BP_2023::Intracellular_Sodium_Ion_Homeostasis_(GO:0006883),18,0.45961,0.014451,0.21276,0.015386,0.7598961313868613,1.0,False,False
right_ALPS,GO_BP_2023,Negative Regulation Of Glycolytic Process (GO:0045820),GO_BP_2023::Negative_Regulation_Of_Glycolytic_Process_(GO:0045820),10,0.60648,0.014216,0.28125,0.015537,0.7598961313868613,1.0,False,False
right_ALPS,GO_BP_2023,protein-DNA Complex Organization (GO:0071824),GO_BP_2023::protein-DNA_Complex_Organization_(GO:0071824),52,0.27604,0.014738,0.12818,0.015647,0.7598961313868613,1.0,False,False
right_ALPS,Reactome_2022,Cyclin E Associated Events During G1/S Transition R-HSA-69202,Reactome_2022::Cyclin_E_Associated_Events_During_G1/S_Transition_R-HSA-69202,81,0.22637,0.015072,0.1056,0.01604,0.7598961313868613,1.0,False,False
right_ALPS,GO_BP_2023,Pulmonary Valve Morphogenesis (GO:0003184),GO_BP_2023::Pulmonary_Valve_Morphogenesis_(GO:0003184),18,0.48899,0.015375,0.22838,0.016139,0.7598961313868613,1.0,False,False
right_ALPS,GO_BP_2023,O-glycan Processing (GO:0016266),GO_BP_2023::O-glycan_Processing_(GO:0016266),38,0.34739,0.015861,0.16229,0.016163,0.7598961313868613,1.0,False,False
right_ALPS,GO_BP_2023,Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001959),GO_BP_2023::Regulation_Of_Cytokine-Mediated_Signaling_Pathway_(GO:0001959),37,0.29571,0.013323,0.13843,0.016341,0.7598961313868613,1.0,False,False
right_ALPS,Reactome_2022,TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789,Reactome_2022::TGF-beta_Receptor_Signaling_Activates_SMADs_R-HSA-2173789,44,0.30428,0.014947,0.14253,0.016397,0.7598961313868613,1.0,False,False
right_ALPS,GO_BP_2023,Positive Regulation Of Organelle Organization (GO:0010638),GO_BP_2023::Positive_Regulation_Of_Organelle_Organization_(GO:0010638),33,0.31685,0.013484,0.14852,0.016455,0.7598961313868613,1.0,False,False
right_ALPS,Reactome_2022,NF-kB Activation Thru FADD/RIP-1 Pathway Mediated By Caspase-8 And -10 R-HSA-933543,Reactome_2022::NF-kB_Activation_Thru_FADD/RIP-1_Pathway_Mediated_By_Caspase-8_And_-10_R-HSA-933543,12,0.49127,0.012614,0.23056,0.016563,0.7598961313868613,1.0,False,False
